ean,nome,atributos_extraidos,status
7908816370351,Guarda Roupa Solteiro 154cm 6 Portas Dony A02 Cinamomo - Mpozenato,"{'largura': '154 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '73,1 kg'}",sucesso
7908816370368,Guarda Roupa Solteiro 154cm 6 Portas Dony A02 Freijó/Titanium - Mpozenato,"{'largura': '154 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '73,1 kg'}",sucesso
7908816370375,Guarda Roupa Solteiro 154cm com Espelho Dony A02 Off/Cinamomo - Mpozenato,"{'largura': '154 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '77,9 kg'}",sucesso
7908816370382,Guarda Roupa Solteiro 154cm com Espelho Dony A02 Cinamomo - Mpozenato,"{'largura': '154 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '77,9 kg'}",sucesso
7908816370399,Guarda Roupa Solteiro 154cm com Espelho Dony A02 Freijó/Titanium - Mpozenato,"{'largura': '154 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '77,9 kg'}",sucesso
7908816370405,Guarda Roupa Cômoda com Espelho 103cm Maite A02 Off/Cinamomo - Mpozenato,"{'largura': '103 cm', 'altura': '179 cm', 'profundidade': '38 cm', 'peso': '45,6 kg'}",sucesso
7908816370412,Guarda Roupa Cômoda com Espelho 103cm Maite A02 Cinamomo - Mpozenato,"{'largura': '103 cm', 'altura': '179 cm', 'profundidade': '38 cm', 'peso': '45,6 kg'}",sucesso
7908816370429,Guarda Roupa Cômoda com Espelho 103cm Maite A02 Freijó/Titanium - Mpozenato,"{'largura': '103 cm', 'altura': '179 cm', 'profundidade': '38 cm', 'peso': '45,6 kg'}",sucesso
7908816370436,Guarda Roupa Cômoda com Espelho 103cm Maite A02 Off/Freijó - Mpozenato,"{'largura': '103 cm', 'altura': '179 cm', 'profundidade': '38 cm', 'peso': '45,6 kg'}",sucesso
7908816370443,Guarda Roupa Cômoda com Espelho 103cm Maite A02 Azul/Rosa/Titanium - Mpozenato,"{'largura': '103 cm', 'altura': '179 cm', 'profundidade': '38 cm', 'peso': '45,6 kg'}",sucesso
